"ID";"Name";"Longitude_WGS84";"Latitude_WGS84";"Street";"AdmArea";"District";"RouteNumbers";"StationName";"Direction";"Pavilion";"OperatingOrgName";"EntryState";"global_id";"geoData";
"1274";"«Ижорская ул.», Коровинское шоссе (1274)";"37.51201962";"55.89046966";"Коровинское шоссе";"Северный административный округ";"Дмитровский район";"А149; А194; А672";"Ижорская ул.";"";"да";"ГУП «Мосгортранс»";"активна";"889086190";"{type=Point, coordinates=[37.51201962, 55.89046966]}";
"1275";"«Больница», Клязьминская улица (1275)";"37.5291057";"55.89084669";"Клязьминская улица";"Северный административный округ";"Дмитровский район";"А149; А206к; А352; А63; А774; АМ10";"Больница";"";"да";"ГУП «Мосгортранс»";"активна";"889086191";"{type=Point, coordinates=[37.5291057, 55.89084669]}";
"1276";"«Клязьминская ул.», Клязьминская улица (1276)";"37.52976233";"55.89566025";"Клязьминская улица";"Северный административный округ";"Дмитровский район";"А149; А63";"Клязьминская ул.";"";"да";"ГУП «Мосгортранс»";"активна";"889086192";"{type=Point, coordinates=[37.52976233, 55.89566025]}";
"1277";"«Вагоноремонтная ул.», Вагоноремонтная улица (1277)";"37.53374516";"55.89816841";"Вагоноремонтная улица";"Северный административный округ";"Дмитровский район";"А149; А63";"Вагоноремонтная ул.";"";"да";"ГУП «Мосгортранс»";"активна";"889086193";"{type=Point, coordinates=[37.53374516, 55.89816841]}";
"1278";"«Карельский бульв., 22», Карельский бульвар (1278)";"37.53657845";"55.89624293";"Карельский бульвар";"Северный административный округ";"Дмитровский район";"А63";"Карельский бульв., 22";"";"да";"ГУП «Мосгортранс»";"активна";"889086194";"{type=Point, coordinates=[37.53657845, 55.89624293]}";
"1279";"«Карельский бульв.», Карельский бульвар (1279)";"37.5364842";"55.89380828";"Карельский бульвар";"Северный административный округ";"Дмитровский район";"А63";"Яхромская ул.";"";"да";"ГУП «Мосгортранс»";"активна";"889086195";"{type=Point, coordinates=[37.5364842, 55.89380828]}";
"1280";"«Долгопрудная ул.», Долгопрудная улица (1280)";"37.54107982";"55.89355905";"Долгопрудная улица";"Северный административный округ";"район Восточное Дегунино";"А63";"Ул. 800-летия Москвы";"";"да";"ГУП «Мосгортранс»";"активна";"889086196";"{type=Point, coordinates=[37.54107982, 55.89355905]}";
"1281";"«Лианозовский элмех. з-д», Дмитровское шоссе (1281)";"37.5425366";"55.89096294";"Дмитровское шоссе";"Северный административный округ";"Дмитровский район";"А149; А284; А352; А571; А63; А763; А763К; А774; А843; А92; А928; А994; АТ78";"Лианозовский элмех. з-д";"";"да";"ГУП «Мосгортранс»";"активна";"889086197";"{type=Point, coordinates=[37.5425366, 55.89096294]}";
"1282";"«Икшинская ул.», Дмитровское шоссе (1282)";"37.54251791";"55.88556447";"Дмитровское шоссе";"Северный административный округ";"Дмитровский район";"А149; А63; А763; А763К; А843; А994; АТ78";"Икшинская ул.";"";"нет";"";"активна";"889086198";"{type=Point, coordinates=[37.54251791, 55.88556447]}";
"1283";"«Яхромская ул.», Дмитровское шоссе (1283)";"37.54402315";"55.88123395";"Дмитровское шоссе";"Северный административный округ";"Дмитровский район";"А149; А63; А763; А763К; А843; А994; АТ78";"Яхромская ул.";"";"да";"ГУП «Мосгортранс»";"активна";"889086199";"{type=Point, coordinates=[37.54402315, 55.88123395]}";
